"","state_lower","zipcode","county"
"1","puerto rico","00601","Adjuntas"
"2","puerto rico","00602","Aguada"
"3","puerto rico","00603","Aguadilla"
"4","puerto rico","00606","Maricao"
"5","puerto rico","00610","Añasco"
"6","puerto rico","00611","Utuado"
"7","puerto rico","00612","Arecibo"
"8","puerto rico","00616","Arecibo"
"9","puerto rico","00617","Barceloneta"
"10","puerto rico","00622","Cabo Rojo"
"11","puerto rico","00623","Cabo Rojo"
"12","puerto rico","00624","Peñuelas"
"13","puerto rico","00627","Camuy"
"14","puerto rico","00631","Lares"
"15","puerto rico","00637","Sabana Grande"
"16","puerto rico","00638","Ciales"
"17","puerto rico","00641","Utuado"
"18","puerto rico","00646","Dorado"
"19","puerto rico","00647","Guánica"
"20","puerto rico","00650","Florida"
"21","puerto rico","00652","Arecibo"
"22","puerto rico","00653","Guánica"
"23","puerto rico","00656","Guayanilla"
"24","puerto rico","00659","Hatillo"
"25","puerto rico","00660","Hormigueros"
"26","puerto rico","00662","Isabela"
"27","puerto rico","00664","Jayuya"
"28","puerto rico","00667","Lajas"
"29","puerto rico","00669","Lares"
"30","puerto rico","00670","Las Marías"
"31","puerto rico","00674","Manatí"
"32","puerto rico","00676","Moca"
"33","puerto rico","00677","Rincón"
"34","puerto rico","00678","Quebradillas"
"35","puerto rico","00680","Mayagüez"
"36","puerto rico","00682","Mayagüez"
"37","puerto rico","00683","San Germán"
"38","puerto rico","00685","San Sebastián"
"39","puerto rico","00687","Morovis"
"40","puerto rico","00688","Arecibo"
"41","puerto rico","00690","Aguadilla"
"42","puerto rico","00692","Vega Alta"
"43","puerto rico","00693","Vega Baja"
"44","puerto rico","00694","Vega Baja"
"45","puerto rico","00698","Yauco"
"46","puerto rico","00703","Aguas Buenas"
"47","puerto rico","00704","Salinas"
"48","puerto rico","00705","Aibonito"
"49","puerto rico","00707","Maunabo"
"50","puerto rico","00714","Arroyo"
"51","puerto rico","00715","Ponce"
"52","puerto rico","00716","Ponce"
"53","puerto rico","00717","Ponce"
"54","puerto rico","00718","Naguabo"
"55","puerto rico","00719","Naranjito"
"56","puerto rico","00720","Orocovis"
"57","puerto rico","00723","Patillas"
"58","puerto rico","00725","Caguas"
"59","puerto rico","00727","Caguas"
"60","puerto rico","00728","Ponce"
"61","puerto rico","00729","Canóvanas"
"62","puerto rico","00730","Ponce"
"63","puerto rico","00731","Ponce"
"64","puerto rico","00735","Ceiba"
"65","puerto rico","00736","Cayey"
"66","puerto rico","00738","Fajardo"
"67","puerto rico","00739","Cidra"
"68","puerto rico","00740","Fajardo"
"69","puerto rico","00741","Humacao"
"70","puerto rico","00745","Río Grande"
"71","puerto rico","00751","Salinas"
"72","puerto rico","00754","San Lorenzo"
"73","puerto rico","00757","Santa Isabel"
"74","puerto rico","00765","Vieques"
"75","puerto rico","00766","Villalba"
"76","puerto rico","00767","Yabucoa"
"77","puerto rico","00769","Coamo"
"78","puerto rico","00771","Las Piedras"
"79","puerto rico","00772","Loíza"
"80","puerto rico","00773","Luquillo"
"81","puerto rico","00775","Culebra"
"82","puerto rico","00777","Juncos"
"83","puerto rico","00778","Gurabo"
"84","puerto rico","00780","Ponce"
"85","puerto rico","00782","Comerío"
"86","puerto rico","00783","Corozal"
"87","puerto rico","00784","Guayama"
"88","puerto rico","00786","Aibonito"
"89","puerto rico","00791","Humacao"
"90","puerto rico","00794","Barranquitas"
"91","puerto rico","00795","Juana Díaz"
"92","virgin islands","00802","St. Thomas"
"93","virgin islands","00820","St. Croix"
"94","virgin islands","00830","St. John"
"95","virgin islands","00840","St. Croix"
"96","virgin islands","00850","St. Croix"
"97","virgin islands","00851","St. Croix"
"98","puerto rico","00901","San Juan"
"99","puerto rico","00906","San Juan"
"100","puerto rico","00907","San Juan"
"101","puerto rico","00909","San Juan"
"102","puerto rico","00911","San Juan"
