"","state_lower","zipcode"
"1","florida","32710"
"2","washington","98668"
"3","georgia","30301"
"4","south carolina","29423"
"5","california","91363"
"6","florida","32853"
"7","alabama","36361"
"8","new york","12345"
"9","nevada","88901"
"10","ohio","46459"
"11","texas","77399"
"12","minnesota","56920"
"13","new york","10118"
"14","oklahoma","70412"
"15","florida","34598"
"16","texas","73344"
"17","california","91408"
"18","pennsylvania","39883"
"19","connecticut","06430"
"20","georgia","30301"
"21","louisiana","71171"
"22","florida","35604"
"23","florida","33846"
"24","michigan","49501"
"25","texas","73301"
"26","massachusetts","02020"
"27","tennessee","37320"
"28","california","90050"
"29","arizona","85075"
"30","new york","14929"
"31","texas","70109"
"32","california","90099"
"33","new york","10116"
"34","california","82626"
"35","new york","10233"
